,god,jesus,prayer,cancer,diabetes,hypertension,cough,fever,sore throat
2017-04-16,68.0,46.0,23.0,72.0,58.0,55.0,39.0,52.0,27.0
2017-04-23,75.0,22.0,23.0,66.0,91.0,27.0,34.0,64.0,25.0
2017-04-30,66.0,34.0,24.0,66.0,73.0,55.0,42.0,73.0,26.0
2017-05-07,73.0,23.0,34.0,74.0,89.0,33.0,35.0,52.0,15.0
2017-05-14,65.0,34.0,29.0,73.0,70.0,69.0,39.0,55.0,21.0
2017-05-21,80.0,28.0,34.0,80.0,76.0,39.0,44.0,45.0,28.0
2017-05-28,47.0,41.0,35.0,74.0,71.0,62.0,56.0,48.0,27.0
2017-06-04,49.0,33.0,25.0,69.0,97.0,52.0,47.0,55.0,40.0
2017-06-11,80.0,31.0,23.0,71.0,77.0,51.0,55.0,66.0,25.0
2017-06-18,59.0,45.0,27.0,71.0,80.0,55.0,58.0,53.0,33.0
2017-06-25,50.0,37.0,26.0,72.0,78.0,39.0,84.0,83.0,42.0
2017-07-02,74.0,29.0,25.0,69.0,71.0,72.0,83.0,77.0,37.0
2017-07-09,54.0,20.0,21.0,73.0,66.0,53.0,78.0,75.0,36.0
2017-07-16,49.0,34.0,20.0,66.0,66.0,28.0,83.0,67.0,42.0
2017-07-23,63.0,23.0,27.0,76.0,94.0,41.0,65.0,68.0,37.0
2017-07-30,82.0,31.0,28.0,82.0,85.0,54.0,57.0,73.0,35.0
2017-08-06,61.0,30.0,31.0,71.0,78.0,29.0,73.0,67.0,35.0
2017-08-13,92.0,32.0,22.0,74.0,78.0,41.0,64.0,67.0,31.0
2017-08-20,94.0,40.0,29.0,93.0,87.0,31.0,61.0,64.0,47.0
2017-08-27,70.0,29.0,23.0,73.0,73.0,41.0,65.0,60.0,28.0
2017-09-03,51.0,31.0,23.0,74.0,82.0,60.0,56.0,59.0,29.0
2017-09-10,75.0,28.0,22.0,73.0,86.0,63.0,55.0,76.0,25.0
2017-09-17,82.0,33.0,24.0,62.0,79.0,52.0,59.0,46.0,19.0
2017-09-24,66.0,25.0,29.0,76.0,72.0,34.0,59.0,58.0,34.0
2017-10-01,42.0,21.0,26.0,91.0,80.0,47.0,51.0,58.0,32.0
2017-10-08,69.0,27.0,25.0,80.0,73.0,62.0,49.0,54.0,29.0
2017-10-15,76.0,34.0,18.0,76.0,84.0,53.0,38.0,69.0,27.0
2017-10-22,57.0,30.0,28.0,73.0,83.0,57.0,43.0,68.0,27.0
2017-10-29,72.0,32.0,28.0,72.0,100.0,37.0,42.0,76.0,29.0
2017-11-05,40.0,23.0,26.0,65.0,74.0,55.0,40.0,70.0,29.0
2017-11-12,60.0,30.0,26.0,62.0,82.0,37.0,42.0,84.0,27.0
2017-11-19,60.0,31.0,24.0,71.0,66.0,63.0,40.0,72.0,30.0
2017-11-26,50.0,25.0,18.0,78.0,50.0,49.0,49.0,57.0,24.0
2017-12-03,53.0,36.0,33.0,68.0,64.0,27.0,45.0,74.0,24.0
2017-12-10,68.0,31.0,22.0,67.0,54.0,47.0,38.0,75.0,24.0
2017-12-17,38.0,28.0,24.0,76.0,56.0,53.0,45.0,79.0,25.0
2017-12-24,53.0,26.0,23.0,67.0,51.0,41.0,48.0,51.0,25.0
2017-12-31,51.0,31.0,26.0,63.0,55.0,20.0,29.0,63.0,29.0
2018-01-07,48.0,17.0,13.0,68.0,65.0,41.0,31.0,58.0,23.0
2018-01-14,52.0,20.0,26.0,69.0,70.0,43.0,32.0,58.0,24.0
2018-01-21,47.0,27.0,21.0,74.0,53.0,61.0,38.0,47.0,19.0
2018-01-28,72.0,29.0,29.0,71.0,54.0,55.0,40.0,54.0,20.0
2018-02-04,60.0,22.0,31.0,85.0,56.0,32.0,32.0,51.0,21.0
2018-02-11,60.0,38.0,31.0,69.0,67.0,32.0,33.0,49.0,15.0
2018-02-18,65.0,32.0,22.0,79.0,65.0,42.0,30.0,57.0,22.0
2018-02-25,82.0,31.0,28.0,83.0,82.0,41.0,37.0,40.0,21.0
2018-03-04,63.0,38.0,29.0,85.0,79.0,49.0,36.0,40.0,26.0
2018-03-11,67.0,37.0,33.0,79.0,79.0,38.0,43.0,59.0,30.0
2018-03-18,73.0,39.0,29.0,84.0,61.0,42.0,40.0,53.0,25.0
2018-03-25,78.0,75.0,29.0,87.0,73.0,58.0,41.0,47.0,23.0
2018-04-01,56.0,60.0,29.0,74.0,81.0,36.0,30.0,55.0,26.0
2018-04-08,77.0,39.0,25.0,73.0,68.0,51.0,34.0,34.0,18.0
2018-04-15,55.0,27.0,19.0,79.0,59.0,48.0,42.0,37.0,24.0
2018-04-22,52.0,22.0,22.0,75.0,71.0,51.0,38.0,53.0,21.0
2018-04-29,59.0,33.0,30.0,80.0,84.0,60.0,38.0,54.0,15.0
2018-05-06,57.0,33.0,26.0,88.0,81.0,52.0,50.0,55.0,36.0
2018-05-13,64.0,25.0,32.0,73.0,88.0,87.0,41.0,44.0,21.0
2018-05-20,69.0,31.0,24.0,79.0,66.0,63.0,52.0,45.0,23.0
2018-05-27,64.0,29.0,33.0,79.0,71.0,90.0,47.0,41.0,30.0
2018-06-03,74.0,30.0,29.0,83.0,71.0,54.0,48.0,52.0,22.0
2018-06-10,69.0,29.0,31.0,95.0,69.0,72.0,56.0,54.0,20.0
2018-06-17,58.0,35.0,22.0,82.0,74.0,60.0,59.0,49.0,20.0
2018-06-24,91.0,34.0,33.0,78.0,65.0,29.0,53.0,39.0,23.0
2018-07-01,55.0,31.0,25.0,73.0,68.0,39.0,63.0,60.0,29.0
2018-07-08,57.0,27.0,28.0,74.0,57.0,62.0,65.0,71.0,40.0
2018-07-15,69.0,20.0,22.0,75.0,70.0,45.0,57.0,56.0,26.0
2018-07-22,78.0,31.0,33.0,73.0,93.0,39.0,72.0,55.0,38.0
2018-07-29,73.0,41.0,32.0,77.0,83.0,88.0,60.0,68.0,26.0
2018-08-05,70.0,34.0,31.0,86.0,69.0,81.0,57.0,89.0,31.0
2018-08-12,67.0,29.0,26.0,85.0,78.0,71.0,69.0,68.0,42.0
